order_id,order_date,product_id,quantity,sales,city,rejected_reason
1,01-05-2025,100,1,50000,Bangalore,Invalid city Bangalore.;
order_id,order_date,product_id,quantity,sales,city,rejected_reason
3,28-05-2025,200,2,4500,Mumbai,Invalid Sales calculation.
order_id,order_date,product_id,quantity,sales,city,rejected_reason
4,04-06-2025,500,3,30000,Bangalore,Invalid city Bangalore.;
order_id,order_date,product_id,quantity,sales,city,rejected_reason
1,01-05-2025,100,1,50000,Bangalore,Invalid city Bangalore.;
order_id,order_date,product_id,quantity,sales,city,rejected_reason
3,28-05-2025,200,2,4500,Mumbai,Invalid Sales calculation.
order_id,order_date,product_id,quantity,sales,city,rejected_reason
4,04-06-2025,500,3,30000,Bangalore,Invalid city Bangalore.;
order_id,order_date,product_id,quantity,sales,city,rejected_reason
1,01-05-2025,100,1,50000,Bangalore,Invalid city Bangalore.;
order_id,order_date,product_id,quantity,sales,city,rejected_reason
3,28-05-2025,200,2,4500,Mumbai,Invalid Sales calculation.
order_id,order_date,product_id,quantity,sales,city,rejected_reason
4,04-06-2025,500,3,30000,Bangalore,Invalid city Bangalore.;
order_id,order_date,product_id,quantity,sales,city,rejected_reason
1,01-05-2025,100,1,50000,Bangalore,Invalid city Bangalore.;
order_id,order_date,product_id,quantity,sales,city,rejected_reason
3,28-05-2025,200,2,4500,Mumbai,Invalid Sales calculation.
order_id,order_date,product_id,quantity,sales,city,rejected_reason
4,04-06-2025,500,3,30000,Bangalore,Invalid city Bangalore.;
